,area_name,city_name,state_name,country_name,_geoloc,popularity,elevation_gain,difficulty_rating,visitor_usage,avg_rating,num_reviews,features,activities,units,lat,lng,summer_temp,winter_temp,annual_rain,annual_snow,Region,Park Type,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,visitor_pct_change
2244,Big Bend National Park,Big Bend National Park,Texas,United States,"{'lat': 29.2744, 'lng': -103.28635}",28.6477,334.9752,3,3.0,5.0,395,"['dogs-no', 'forest', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",i,29.2744,-103.28635,34.3,-4.296,189.87,4.452,Intermountain  Region,National Park,514107,58122,393907,463832,440091,440276,38829,381747,314102,316953,292055,361862,37233,363905,362512,364856,298717,398583,357723,312384,327747,328927,26232,327649,338442,305882,279454,29546,330417,327907,294535,29647,257378,281728,239595,227921,200622,188045,167665.0,164926.0,180144.0,167332.0,174008.0,784.5308144936513
2314,Zion National Park,Springdale,Utah,United States,"{'lat': 37.25928, 'lng': -112.95166}",84.6229,492.8616,5,4.0,5.0,3903,"['dogs-no', 'partially-paved', 'river', 'views', 'wild-flowers', 'wildlife']","['hiking', 'nature-trips', 'trail-running']",i,37.25928,-112.95166,36.8,-12.4,247.55,33.936,Intermountain  Region,National Park,4692417,5039835,3591254,4488268,4320033,4504812,4295127,3648846,3189696,2807387,2973607,2825505,2665972,2735402,2690154,2657281,2567350,2586665,2677342,2458792,2592545,2217779,2432348,2449664,2370048,2445534,2498001,2430162,2270871,2392580,2390626,2236997,2102400,1998856,1948332,1777619,1670503,1503272,1377254.0,1273030.0,1246290.0,1288808.0,1123846.0,-6.893439963808339
2408,Arches National Park,Moab,Utah,United States,"{'lat': 38.73568, 'lng': -109.5205}",63.6748,186.8424,3,3.0,5.0,2332,"['dogs-no', 'kids', 'partially-paved', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'rock-climbing', 'walking']",i,38.73568,-109.5205,38.7,-15.9,151.78,25.949,Intermountain  Region,National Park,1460652,1806865,1238083,1659702,1663557,1539028,1585718,1399247,1284767,1082866,1070577,1040758,1014405,996312,928795,860181,833049,78167,733131,757781,769672,754026,786429,86998,837161,858525,856016,859374,777178,773678,799831,705882,620719,555809,520455,468916,419444,363464,34518.0,287875.0,339415.0,326508.0,290519.0,-19.160977715545986
2456,Bryce Canyon National Park,Bryce,Utah,United States,"{'lat': 37.62328, 'lng': -112.16706}",52.0201,189.8904,3,4.0,5.0,1097,"['dogs-no', 'forest', 'kids', 'views', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",i,37.62328,-112.16706,29.596,-20.7,223.35,165.417,Intermountain  Region,National Park,2354660,2104600,1464655,2594904,2679478,2571684,2365110,1745804,1435741,1311875,1385352,1296000,1285492,1216377,1043321,1012563,890676,1017681,987253,90376,886436,1068619,1099275,1081521,1166331,1174824,1269600,994548,1028134,1107951,1018174,929067,862659,808045,791348,718342,578018,500782,495104.0,472633.0,471517.0,474092.0,571541.0,11.881592701701035
2487,Canyonlands National Park,Moab,Utah,United States,"{'lat': 38.38925, 'lng': -109.86797}",36.2363,18.8976,1,3.0,4.5,725,"['dogs-no', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",i,38.38925,-109.86797,34.2,-16.4,170.1,59.577,Intermountain  Region,National Park,779147,911594,493914,733996,739449,742271,776218,634607,542431,462242,452952,473773,435908,436241,436715,41756,392537,393381,371706,386986,367078,368592,401558,44616,436524,432697,447527,448769,429921,434844,395698,339315,276831,257411,2121,172384,172987,116672,102533.0,100022.0,97079.0,89915.0,56505.0,-14.529165395998659
2564,Capitol Reef National Park,Torrey,Utah,United States,"{'lat': 38.28875, 'lng': -111.2276}",30.0493,129.8448,3,3.0,4.5,597,"['dogs-no', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i,38.28875,-111.2276,35.4,-15.996,122.81,41.524,Intermountain  Region,National Park,1227608,1405353,981038,1226519,1227627,1150165,1064904,941029,786514,66367,673345,668834,662661,617208,604811,554907,511511,550255,549708,535441,525646,52776,612656,680153,656026,62568,678012,648864,605324,610707,675837,618056,562477,515278,469556,428808,383742,320503,29623.0,331734.0,289486.0,397789.0,342788.0,-12.647711998337785
2606,Shenandoah National Park,Syria,Virginia,United States,"{'lat': 38.57052, 'lng': -78.28729}",59.6754,736.7016,5,4.0,5.0,2278,"['dogs-no', 'forest', 'partially-paved', 'river', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips', 'rock-climbing', 'trail-running']",i,38.57052,-78.28729,33.5,-8.992,1076.83,49.371,Northeast  Region,National Park,1449300,1592312,1666265,1425507,1264880,1458874,1437341,1321873,1255321,1136505,1210200,1209883,1253386,1120981,1075878,1107227,1076150,1094912,1261000,1163950,1389244,1498561,1419579,1339286,1473100,1587790,1571019,1757794,1926883,1951366,1822193,1939486,1771780,1873817,1937155,1767727,1843985,1933085,1869307.0,1768378.0,1751972.0,1819546.0,1699228.0,-8.98140565416828
2793,Mount Rainier National Park,Ashford,Washington,United States,"{'lat': 46.93736, 'lng': -121.8677}",49.5524,463.9056,3,3.0,4.5,873,"['dogs-no', 'forest', 'lake', 'views', 'wild-flowers', 'wildlife']","['hiking', 'nature-trips']",i,46.93736,-121.8677,25.492,-12.496,639.91,720.041,Pacific West  Region,National Park,1622395,1670063,1160754,1501621,1518491,1415867,1356913,1237231,1264259,1148552,1049178,1038229,1191754,1151654,1163227,1047685,1113601,1173897,1217750,1262351,1310390,1301103,1344833,1291397,1353793,1315773,1338961,1438227,1426244,1365213,1522057,1549412,1327101,1354302,1255618,1292027,1298457,1165640,1152411.0,1106306.0,1007300.0,1233671.0,1268256.0,-2.854263581673266
2923,Olympic National Park,Port Angeles,Washington,United States,"{'lat': 47.97651, 'lng': -123.5178}",42.0778,242.9256,3,3.0,4.5,621,"['dogs-no', 'forest', 'partially-paved', 'river', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'snowshoeing']",i,47.97651,-123.5178,23.596,-13.1,1504.85,601.783,Pacific West  Region,National Park,2432972,2718925,2499177,3245806,3104455,3401996,3390221,3263761,3243872,3085340,2824908,2966502,2844563,3276459,3081451,2988686,2749197,3142774,3073722,3225327,3691310,3416069,3327722,3364266,3577007,3846709,3348723,3658615,3381573,2679598,3030195,2759673,2794903,2737611,2959122,2822850,2940034,2532145,2759011.0,2410722.0,2478739.0,2306032.0,2032418.0,-10.51713452927168
3093,North Cascades National Park,Stehekin,Washington,United States,"{'lat': 48.51941, 'lng': -120.67423}",26.4301,291.9984,3,3.0,4.5,287,"['dogs-no', 'forest', 'lake', 'kids', 'river', 'views', 'wild-flowers', 'wildlife']","['birding', 'fishing', 'hiking', 'nature-trips', 'rock-climbing', 'snowshoeing', 'trail-running', 'walking', 'fly-fishing']",i,48.51941,-120.67423,25.2,-16.396,360.63,818.944,Pacific West  Region,National Park,30154,17855,30885,38208,30085,30326,28646,20677,23865,21623,26935,19208,24659,26972,18725,19534,19167,18686,16912,20724,20691,27739,25704,21488,32753,27203,2791,65984,19323,21378,20295,22796,456444,391433,605967,651606,683056,629234,637836.0,858041.0,857016.0,829026.0,796079.0,68.8826659199104
3113,Grand Teton National Park,Moose,Wyoming,United States,"{'lat': 43.7672, 'lng': -110.74426}",39.53,343.8144,3,3.0,5.0,669,"['dogs-no', 'forest', 'lake', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['camping', 'hiking']",i,43.7672,-110.74426,27.8,-19.296,338.67,458.248,Intermountain  Region,National Park,2806223,3885230,3289638,3405614,3491151,3317000,3270076,3149921,2791392,2688794,2705256,2587437,2669374,2580081,2485987,2588574,2406476,2463442,2360373,2355693,2612629,2535108,2590624,2680025,2757060,2658762,2733439,2731015,2540699,2568689,1744636,1625752,1588253,1331659,1232691,1450791,1306322,1334483,1360898.0,1532035.0,2534029.0,2643644.0,2555627.0,-27.77202379267122
3215,Hawaii Volcanoes National Park,Pahala,Hawaii,Hawaii,"{'lat': 19.41648, 'lng': -155.24294}",25.6723,209.7024,3,3.0,4.5,473,"['dogs-no', 'forest', 'kids', 'views', 'wild-flowers', 'wildlife']","['hiking', 'nature-trips', 'walking']",m,19.41648,-155.24294,22.3,10.9,2347.52,0.0,Pacific West  Region,National Park,1580961,1262747,589775,1368376,1116891,2016702,1887580,1832660,1693005,1583209,1483928,1352123,1304667,1233105,1270538,1467779,1612246,1661196,1307391,1122524,1110998,1343286,1514636,1502855,1352373,1832087,1231557,1175028,1174289,1143741,1151661,1238653,1096816,1056188,983007,1006058,898023,816652,2008608.0,2247974.0,1995397.0,1931852.0,1692338.0,25.200139061902345
3250,Haleakala National Park,Hana,Maui,Hawaii,"{'lat': 20.66233, 'lng': -156.04445}",33.3147,249.936,3,4.0,5.0,697,"['dogs-no', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",m,20.66233,-156.04445,28.296,20.2,1837.89,0.0,Pacific West  Region,National Park,1087616,853181,319147,994394,1044084,1112390,1263558,1216772,1142040,7853,1094668,956989,1105606,1109104,1185068,1322817,1426068,1474681,1455477,1444668,1521080,1410974,1620083,1963187,1476842,1673561,1553344,1594596,1527329,1317433,1183124,1228332,1260601,1367761,1314683,1333900,1281219,1194651,1003821.0,864289.0,771762.0,631684.0,560238.0,27.47775677142365
